,title,duration,views,release_date
407,Superfluid Dark Matter,6,159000,2018-11-30
408,Just Move [music video],2,46000,2018-11-22
409,"Ave Maria, atheist's version (update)",3,45000,2018-11-14
410,"Modified gravity, demystified",6,108000,2018-10-04
411,Dark matter. Or what?,14,427000,2018-08-24
412,String theory pros and cons,7,334000,2018-07-15
413,Outer Space,3,82000,2018-06-04
414,Trostpreis,2,31000,2018-04-25
415,"Are the laws of nature beautiful? Book Trailer ""Lost in Math""",1,22000,2018-03-15
416,"Groupthink in Science: Book Trailer ""Lost in Math""",1,26000,2018-02-03
417,This is how I pray,2,105000,2017-12-24
418,Solutions to the Grasshopper Problem,0,9600,2017-11-14
419,Not a Toy,5,29000,2017-08-14
420,Schrödinger's Cat [Music Video],5,71000,2017-05-15
421,Catching Light [Music Video],6,145000,2017-02-13
422,Fucking with my brain,2,55000,2015-11-15
423,String theory (Keep Going),3,25000,2015-08-15
424,"Summary of Richard Dawid's book ""String Theory and the Scientific Method""",14,35000,2015-05-16
425,Can LHC black holes destroy the universe?,6,24000,2015-02-14
426,I'm a little funny,3,57000,2014-11-15
427,2014,3,6300,2014-09-30
428,You talk too much,3,45000,2014-08-15
429,The last real man,3,20000,2014-07-01
430,Looking for love in all the wrong places [Siri's Song],3,14000,2014-05-16
431,I can't forget,3,68000,2014-03-31
432,I saw the future,5,52000,2014-02-14
433,He likes to play with the fire,3,37000,2013-12-30
434,"3D Fermi surfaces, AuIn2",0,9600,2013-11-15
435,What are natural units?,3,40000,2011-11-16
